match_id,date,kickoff_utc,stage,is_knockout,home_team,away_team,p_home,p_draw,p_away,pick,pick_conf,home_progress,away_progress,progress_pick,progress_conf,advanced,completed,actual,actual_score,correct
80,2026-07-01,22:00,Round of 32,True,England,Congo DR,0.5719,0.2885,0.1396,H,0.5719,0.7624,0.2376,England,0.7624,England,True,H,2-1,True
81,2026-07-02,02:00,Round of 32,True,Belgium,Senegal,0.4924,0.2485,0.2591,H,0.4924,0.6353,0.3647,Belgium,0.6353,Belgium,True,D,2-2,True
82,2026-07-02,06:00,Round of 32,True,USA,Bosnia and Herzegovina,0.7189,0.1766,0.1045,H,0.7189,0.8449,0.1551,USA,0.8449,USA,True,H,2-0,True
83,2026-07-03,01:00,Round of 32,True,Spain,Austria,0.7478,0.1662,0.086,H,0.7478,0.87,0.13,Spain,0.87,Spain,True,H,3-0,True
84,2026-07-03,05:00,Round of 32,True,Portugal,Croatia,0.5847,0.2296,0.1857,H,0.5847,0.7298,0.2702,Portugal,0.7298,Portugal,True,H,2-1,True
85,2026-07-03,09:00,Round of 32,True,Switzerland,Algeria,0.5458,0.2352,0.2191,H,0.5458,0.6883,0.3117,Switzerland,0.6883,Switzerland,True,H,2-0,True
86,2026-07-04,00:00,Round of 32,True,Australia,Egypt,0.3909,0.3425,0.2666,H,0.3909,0.5776,0.4224,Australia,0.5776,Egypt,True,D,1-1,False
87,2026-07-04,04:00,Round of 32,True,Argentina,Cabo Verde,0.7689,0.1694,0.0617,H,0.7689,0.8988,0.1012,Argentina,0.8988,Argentina,True,D,1-1,True
88,2026-07-04,07:30,Round of 32,True,Colombia,Ghana,0.6428,0.2479,0.1093,H,0.6428,0.8157,0.1843,Colombia,0.8157,Colombia,True,H,1-0,True
89,2026-07-04,21:00,Round of 16,True,Paraguay,France,0.1342,0.2519,0.614,A,0.614,0.2168,0.7832,France,0.7832,France,True,A,0-1,True
90,2026-07-04,23:00,Round of 16,True,Canada,Morocco,0.2376,0.3101,0.4522,A,0.4522,0.3693,0.6307,Morocco,0.6307,Morocco,True,A,0-3,True
91,2026-07-05,20:00,Round of 16,True,Brazil,Norway,0.6428,0.1929,0.1643,H,0.6428,0.7692,0.2308,Brazil,0.7692,Norway,True,A,1-2,False
92,2026-07-06,01:00,Round of 16,True,Mexico,England,0.3262,0.3161,0.3577,A,0.3577,0.4808,0.5192,England,0.5192,England,True,A,2-3,True
93,2026-07-06,19:00,Round of 16,True,Portugal,Spain,0.2686,0.2781,0.4533,A,0.4533,0.3906,0.6094,Spain,0.6094,Spain,True,A,0-1,True
94,2026-07-07,00:00,Round of 16,True,USA,Belgium,0.2666,0.2397,0.4937,A,0.4937,0.3692,0.6308,Belgium,0.6308,Belgium,True,A,1-4,True
