match_id,date,kickoff_utc,stage,is_knockout,home_team,away_team,completed,p_home,p_draw,p_away,pick,pick_conf,home_progress,away_progress,progress_pick,progress_conf,actual,actual_score,correct
80,2026-07-01,22:00,Round of 32,True,England,Congo DR,True,0.6875,0.2126,0.0999,H,0.6875,0.8268,0.1732,England,0.8268,H,2-1,True
81,2026-07-02,02:00,Round of 32,True,Belgium,Senegal,True,0.3866,0.3107,0.3027,H,0.3866,0.5483,0.4517,Belgium,0.5483,D,2-2,False
82,2026-07-02,06:00,Round of 32,True,USA,Bosnia and Herzegovina,True,0.5347,0.2731,0.1921,H,0.5347,0.6946,0.3054,USA,0.6946,H,2-0,True
83,2026-07-03,01:00,Round of 32,True,Spain,Austria,True,0.6835,0.2168,0.0997,H,0.6835,0.8251,0.1749,Spain,0.8251,H,3-0,True
84,2026-07-03,05:00,Round of 32,True,Portugal,Croatia,True,0.42,0.309,0.271,H,0.42,0.5856,0.4144,Portugal,0.5856,H,2-1,True
85,2026-07-03,09:00,Round of 32,True,Switzerland,Algeria,True,0.4162,0.3067,0.2771,H,0.4162,0.5799,0.4201,Switzerland,0.5799,H,2-0,True
86,2026-07-04,00:00,Round of 32,True,Australia,Egypt,True,0.439,0.3009,0.2601,H,0.439,0.6026,0.3974,Australia,0.6026,D,1-1,False
87,2026-07-04,04:00,Round of 32,True,Argentina,Cabo Verde,True,0.8645,0.1052,0.0303,H,0.8645,0.9437,0.0563,Argentina,0.9437,D,1-1,False
88,2026-07-04,07:30,Round of 32,True,Colombia,Ghana,True,0.7946,0.1506,0.0548,H,0.7946,0.9015,0.0985,Colombia,0.9015,H,1-0,True
89,2026-07-04,21:00,Round of 16,True,Paraguay,France,True,0.1701,0.2724,0.5574,A,0.5574,0.2801,0.7199,France,0.7199,A,0-1,True
90,2026-07-04,23:00,Round of 16,True,Canada,Morocco,True,0.2636,0.3049,0.4315,A,0.4315,0.4036,0.5964,Morocco,0.5964,A,0-3,True
91,2026-07-05,20:00,Round of 16,True,Brazil,Norway,True,0.4411,0.3056,0.2532,H,0.4411,0.6078,0.3922,Brazil,0.6078,A,1-2,False
92,2026-07-06,01:00,Round of 16,True,Mexico,England,True,0.2423,0.3034,0.4543,A,0.4543,0.3784,0.6216,England,0.6216,A,2-3,True
93,2026-07-06,19:00,Round of 16,True,Portugal,Spain,True,0.1937,0.2893,0.517,A,0.517,0.3154,0.6846,Spain,0.6846,A,0-1,True
94,2026-07-07,00:00,Round of 16,True,USA,Belgium,True,0.2273,0.2932,0.4796,A,0.4796,0.3558,0.6442,Belgium,0.6442,A,1-4,True
